guardian_id,first_name,last_name,email,phone,relationship,student_ids,custody_type,emergency_priority
G001,Robert,Smith,robert.smith@email.com,555-1111,Father,1001,Full,1
G002,Mary,Smith,mary.smith@email.com,555-2222,Mother,1001,Full,2
G003,John,Doe,john.doe@email.com,555-3333,Father,"1002,1011",Partial,1
G004,Sarah,Doe,sarah.doe@email.com,555-4444,Mother,"1002,1011",Full,1
G005,Michael,Johnson,m.johnson@email.com,555-5555,Father,1004,Full,1
G006,Linda,Williams,l.williams@email.com,555-6666,Mother,1005,Full,1
G007,James,Williams,j.williams@email.com,555-7777,Father,1005,Full,2
G008,Patricia,Brown,p.brown@email.com,555-8888,Mother,1006,Full,1
G009,David,Prince,d.prince@email.com,555-9999,Father,1007,Joint,1
G010,Diana,Prince,diana.prince@email.com,(555)1010,Mother,1007,Joint,2
G011,Thomas,Taylor,t.taylor@email.com,555-1112,Father,1008,Full,1
G012,Elizabeth,Miller,e.miller@email.com,555-1213,Grandmother,1009,Full,1
G013,William,Lee,w.lee@email.com,555-1314,Father,1010,Full,1
G014,Jennifer,Lee,j.lee@email.com,555-1415,Mother,1010,Full,2
G015,Richard,Wilson,r.wilson@email.com,555-1516,Father,1012,Full,1
G016,Susan,Chen,s.chen@email.com,555-1617,Mother,1013,Full,1
G017,Charles,Brown,c.brown@email.com,555-1718,Father,1014,Full,1
G018,Margaret,Adams,m.adams@email.com,555-1819,Mother,1015,Full,1
G019,Joseph,Adams,j.adams@email.com,555-1920,Father,1015,Full,2
